HHID;CASEID;V801;V802;V803;V804;V805;V806;V811;V812;V813;V814;V815A;V815B;V815C
       1   9;       1   9 01; 934;1028;54;1;  102;  ;2;0;0;0;1;0;0
       1  14;       1  14 02;1345;1421;36;1;  102;  ;0;0;0;0;0;0;0
       1  22;       1  22 01;1023;1139;76;1;  101;  ;0;0;0;0;0;0;0
       1  22;       1  22 03;1144;1230;46;1;  101;  ;0;0;0;0;0;0;0
       1  26;       1  26 01;1353;1447;54;1;  103;  ;0;0;0;0;0;0;0
       1  38;       1  38 01;1402;1518;76;1;  101;  ;0;0;0;0;0;0;0
       1  42;       1  42 02; 843;1008;85;1;  101;  ;0;0;0;0;0;0;0
       1  50;       1  50 03;1612;1617;96;2;  101;  ;0;0;0;0;0;0;0
       1  54;       1  54 05; 825; 938;73;1;  101;  ;0;0;0;0;0;0;0
       1  58;       1  58 01;1337;1447;70;1;  102;  ;0;0;0;0;0;0;0
       1  62;       1  62 02;1039;1233;95;1;  102;  ;0;0;0;0;0;0;0
       1  66;       1  66 02;1531;1636;65;1;  102;  ;0;0;0;0;0;0;0
       1  78;       1  78 01;1122;1234;72;1;  102;  ;0;0;0;0;0;0;0
       1  78;       1  78 02;1147;1229;42;1;  102;  ;0;0;0;0;0;0;0
       1  78;       1  78 03;1558;1656;58;1;  102;  ;0;0;0;0;0;0;0
       1  82;       1  82 10;1504;1557;96;2;  103;  ;0;0;0;0;0;0;0
       1  86;       1  86 05; 913;1002;49;1;  103;  ;0;0;0;0;0;0;0
       1  90;       1  90 01;1212;1311;59;1;  103;  ;0;0;0;0;0;0;0
       1  94;       1  94 03;1148;1211;23;1;  103;  ;0;0;0;0;0;0;0
       1  94;       1  94 04; 827; 846;19;1;  103;  ;0;0;0;0;0;0;0
       2   5;       2   5 02;1303;1440;95;1;  101;  ;0;0;0;0;0;0;0
       2  10;       2  10 02;1226;1253;96;4;  101;  ;0;0;0;0;0;0;0
       2  15;       2  15 03;1347;1442;55;1;  101;  ;0;0;0;0;0;0;0
       2  20;       2  20 01; 825; 911;46;1;  103;  ;0;0;0;0;0;0;0
       2  30;       2  30 02;1553;1643;50;1;  101;  ;0;0;0;0;0;0;0
       2  50;       2  50 02; 908;1000;52;1;  102;  ;0;0;0;0;0;0;0
       2  50;       2  50 03;1052;1204;72;1;  102;  ;0;0;0;0;0;0;0
       2  50;       2  50 06;1205;1233;28;1;  102;  ;0;0;0;0;0;0;0
       2  50;       2  50 07;1021;1043;22;1;  102;  ;0;0;0;0;0;0;0
       2  60;       2  60 02;1306;1353;47;1;  102;  ;0;0;0;0;0;0;0
       2  65;       2  65 03;1210;1244;34;1;  102;  ;0;0;0;0;0;0;0
       2  65;       2  65 04;1448;1535;47;1;  102;  ;2;0;0;0;1;0;0
       2  70;       2  70 02;1325;1357;32;1;  103;  ;0;0;0;0;0;0;0
       2  75;       2  75 03; 837; 854;17;1;  103;  ;0;0;0;0;0;0;0
       2  75;       2  75 04;1222;1416;95;1;  103;  ;0;0;0;0;0;0;0
       2  85;       2  85 03; 757; 851;54;1;  101;  ;0;0;0;0;0;0;0
       2  85;       2  85 04; 902; 937;35;1;  101;  ;0;0;0;0;0;0;0
       2  85;       2  85 05; 944;1019;35;1;  101;  ;0;0;0;0;0;0;0
       2  90;       2  90 04; 959;1047;48;1;  103;  ;0;0;0;0;0;0;0
       2 100;       2 100 07;1157;1202;96;4;  103;  ;0;0;0;0;0;0;0
       2 100;       2 100 08;1133;1135;96;4;  103;  ;0;0;0;0;0;0;0
       2 100;       2 100 10;1034;1050;96;4;  103;  ;0;0;0;0;0;0;0
       2 105;       2 105 01; 912;1032;80;1;  103;  ;0;0;0;0;0;0;0
       2 105;       2 105 02;1246;1336;96;2;  103;  ;0;0;0;0;0;0;0
       2 105;       2 105 04;1545;1624;39;1;  103;  ;0;0;0;0;0;0;0
       2 105;       2 105 05;1355;1426;96;2;  103;  ;0;0;0;0;0;0;0
       2 115;       2 115 04;1545;1550;96;2;  102;  ;0;0;0;0;0;0;0
       2 115;       2 115 05;1308;1413;96;2;  102;  ;0;0;0;0;0;0;0
       2 115;       2 115 06; 840; 924;44;1;  102;  ;2;0;0;2;0;0;0
       2 115;       2 115 08;1552;1608;16;1;  102;  ;0;0;0;0;0;0;0
       21005;       21005 02;1029;1100;31;1;  101;  ;0;0;0;0;0;0;0
       3   6;       3   6 02;1005;1136;91;1;  101;  ;0;0;0;0;0;0;0
       3  29;       3  29 01;1008;1101;53;1;  101;  ;0;0;0;0;0;0;0
       3  65;       3  65 01; 948;1154;96;2;  102;  ;0;0;0;0;0;0;0
       3  73;       3  73 01; 924;1018;54;1;  102;  ;2;0;0;0;1;0;0
       3 110;       3 110 01;1546;1629;43;1;  103;  ;0;0;0;0;0;0;0
       3 110;       3 110 02;1129;1214;45;1;  103;  ;0;0;0;0;0;0;0
       3 117;       3 117 02; 947;1003;16;1;  103;  ;0;0;0;0;0;0;0
       3 125;       3 125 02;1139;1240;61;1;  103;  ;0;0;0;0;0;0;0
       3 125;       3 125 03;1304;1330;26;1;  103;  ;0;0;0;0;0;0;0
       3 139;       3 139 02;1146;1231;45;1;  103;  ;0;0;0;0;0;0;0
       3 139;       3 139 07;1242;1306;24;1;  103;  ;0;0;0;0;0;0;0
       3 147;       3 147 01;1223;1252;29;1;  101;  ;0;0;0;0;0;0;0
       3 147;       3 147 02;1253;1407;74;1;  101;  ;0;0;0;0;0;0;0
       3 162;       3 162 02;1227;1254;27;1;  103;  ;0;0;0;0;0;0;0
       3 170;       3 170 02; 840; 924;44;1;  103;  ;0;0;0;0;0;0;0
       3 177;       3 177 02;1416;1459;96;2;  101;  ;0;0;0;0;0;0;0
       3 177;       3 177 03;1512;1545;33;1;  101;  ;0;0;0;0;0;0;0
       3 185;       3 185 02;1134;1241;67;1;  102;  ;0;0;0;0;1;0;0
       3 192;       3 192 01;1146;1147;96;2;  102;  ;0;0;0;0;0;0;0
       3 192;       3 192 02;1551;1613;22;1;  102;  ;0;0;0;0;0;0;0
       3 192;       3 192 07;1039;1103;96;2;  102;  ;0;0;0;0;0;0;0
       4   4;       4   4 07;1516;1602;46;1;  101;  ;0;0;0;0;0;0;0
       4  20;       4  20 03; 853; 916;23;1;  103;  ;0;0;0;0;0;0;0
       4  25;       4  25 03;1428;1535;67;1;  101;  ;0;0;0;0;0;0;0
       4  31;       4  31 01;1439;1511;32;1;  101;  ;0;0;0;0;0;0;0
       4  36;       4  36 02;1125;1233;68;1;  102;  ;0;0;0;0;0;0;0
       4  41;       4  41 08;1631;1705;96;2;  102;  ;0;0;0;0;0;0;0
