HHID;HV000;HV001;HV002;HV003;HV004;HV005;HV006;HV007;HV008;HV008A;HV009;HV010;HV011;HV012;HV013;HV014;HV015;HV016;HV017;HV018;HV019;HV020;HV021;HV022;HV023;HV024;HV025;HV026;HV027;HV028;HV030;HV031;HV032;HV035;HV040;HV041;HV042;HV044;HV045A;HV045B;HV045C;HV046;HV047;HV048;HV801;HV802;HV803;HV804;HV807D;HV807M;HV807Y;HV807C;HV807A
       1   1;MZ8;     1;     1;  0;   1;       0; 8;2022;1472;44774; 0; 0; 0; 0; 0; 0;3; 1;1;  104;   ;0;   1;   1;   1; 1;1; ;1;       0;  100;     ;   ; 0;1351; 0;1;0;   ;   ;   ; ;    1;     ;    ;    ;  ; ;  ;  ;    ;    ;     
       1   5;MZ8;     1;     5;  4;   1;  559281; 7;2022;1471;44771; 4; 0; 0; 4; 3; 0;1;29;1;  101;   ;0;   1;   1;   1; 1;1; ;0;       0;  100;     ;   ; 0;1351; 0;1;0;  2;  2;  2;0;    1;     ;1002;1055;53; ;  ;  ;    ;    ;     
       1   9;MZ8;     1;     9;  1;   1;  559281; 7;2022;1471;44771; 6; 1; 0; 5; 4; 2;1;29;1;  104;   ;0;   1;   1;   1; 1;1; ;1;  560523;  100;     ;   ; 2;1351; 1;1;0;  2; 11; 11;0;    1;     ;1020;1111;51;1;31; 7;2022;1471;44773
       1  14;MZ8;     1;    14;  2;   1;  559281; 7;2022;1471;44771; 3; 1; 0; 3; 3; 0;1;29;1;  104;   ;0;   1;   1;   1; 1;1; ;0;       0;  100;     ;   ; 0;1351; 0;0;1;  2;  2; 11;0;    1;     ;1356;1457;61; ;  ;  ;    ;    ;     
       1  18;MZ8;     1;    18;  1;   1;  559281; 7;2022;1471;44772; 2; 0; 0; 2; 2; 0;1;30;1;  104;   ;0;   1;   1;   1; 1;1; ;1;  560523;  100;     ;   ; 0;1351; 0;0;0;  2; 11; 11;0;    1;     ; 822; 856;34; ;  ;  ;    ;    ;     
       1  22;MZ8;     1;    22;  1;   1;  559281; 7;2022;1471;44773; 4; 2; 0; 4; 4; 0;1;31;1;  101;   ;0;   1;   1;   1; 1;1; ;0;       0;  100;     ;   ; 0;1351; 2;1;1;  2;  2;  2;0;    1;     ; 732; 805;33;1;31; 7;2022;1471;44773
       1  26;MZ8;     1;    26;  1;   1;  559281; 7;2022;1471;44772; 2; 1; 0; 2; 2; 1;1;30;2;  104;   ;0;   1;   1;   1; 1;1; ;1;  560523;  100;     ;   ; 0;1351; 0;0;0;  2;  2;  1;0;    1;     ; 951;1010;96; ;  ;  ;    ;    ;     
       1  30;MZ8;     1;    30;  1;   1;  559281; 7;2022;1471;44771; 1; 0; 0; 1; 1; 0;1;29;2;  104;   ;0;   1;   1;   1; 1;1; ;0;       0;  100;     ;   ; 0;1351; 0;0;0;  2;  2; 11;0;    1;     ;1517;1539;96; ;  ;  ;    ;    ;     
       1  34;MZ8;     1;    34;  0;   1;       0; 7;2022;1471;44772; 0; 0; 0; 0; 0; 0;6;30;1;  104;   ;0;   1;   1;   1; 1;1; ;1;       0;  100;     ;   ; 0;1351; 0;1;0;   ;   ;   ; ;    1;     ;    ;    ;  ; ;  ;  ;    ;    ;     
       1  38;MZ8;     1;    38;  1;   1;  559281; 7;2022;1471;44771; 3; 1; 0; 3; 3; 1;1;29;1;  101;   ;0;   1;   1;   1; 1;1; ;0;       0;  100;     ;   ; 1;1351; 1;1;1;  2;  2;  2;0;    1;     ;1320;1357;37;1;31; 7;2022;1471;44773
       1  42;MZ8;     1;    42;  2;   1;  559281; 7;2022;1471;44771; 7; 1; 0; 7; 6; 1;1;29;1;  101;   ;0;   1;   1;   1; 1;1; ;1;  560523;  100;     ;   ; 0;1351; 0;0;0;  2;  2;  2;0;    1;     ;1135;1214;39; ;  ;  ;    ;    ;     
       1  46;MZ8;     1;    46;  1;   1;  559281; 7;2022;1471;44772; 1; 0; 0; 1; 1; 0;1;30;1;  101;   ;0;   1;   1;   1; 1;1; ;0;       0;  100;     ;   ; 0;1351; 0;0;0;  2;  2;  2;0;    1;     ;1130;1153;23; ;  ;  ;    ;    ;     
       1  50;MZ8;     1;    50;  3;   1;  559281; 7;2022;1471;44772; 5; 1; 2; 5; 5; 2;1;30;1;  101;   ;0;   1;   1;   1; 1;1; ;1;  560523;  100;     ;   ; 0;1351; 0;0;1;  2;  2;  2;0;    1;     ;1006;1049;43; ;  ;  ;    ;    ;     
       1  54;MZ8;     1;    54;  6;   1;  559281; 7;2022;1471;44771; 7; 1; 0; 7; 3; 0;1;29;1;  101;   ;0;   1;   1;   1; 1;1; ;0;       0;  100;     ;   ; 0;1351; 0;0;1;  2;  2;  2;0;    1;     ;1553;1636;43; ;  ;  ;    ;    ;     
       1  58;MZ8;     1;    58;  1;   1;  559281; 7;2022;1471;44771; 4; 1; 1; 4; 4; 1;1;29;1;  102;   ;0;   1;   1;   1; 1;1; ;1;  560523;  100;     ;   ; 0;1351; 1;1;1;  2;  2;  2;0;    1;     ;1308;1335;27;1;30; 7;2022;1471;44772
       1  62;MZ8;     1;    62;  2;   1;  559281; 7;2022;1471;44771; 4; 1; 0; 4; 3; 2;1;29;1;  102;   ;0;   1;   1;   1; 1;1; ;0;       0;  100;     ;   ; 1;1351; 1;1;1;  2;  2;  2;0;    1;     ; 946;1035;49;1;30; 7;2022;1471;44772
       1  66;MZ8;     1;    66;  2;   1;  559281; 7;2022;1471;44771; 5; 1; 1; 5; 5; 1;1;29;1;  102;   ;0;   1;   1;   1; 1;1; ;1;  560523;  100;     ;   ; 0;1351; 0;0;1;  2;  2;  2;0;    1;     ;1505;1527;22; ;  ;  ;    ;    ;     
       1  70;MZ8;     1;    70;  1;   1;  559281; 7;2022;1471;44772; 5; 1; 0; 5; 5; 1;1;30;2;  102;   ;0;   1;   1;   1; 1;1; ;0;       0;  100;     ;   ; 0;1351; 0;0;1;  2;  2;  2;0;    1;     ; 751; 842;96; ;  ;  ;    ;    ;     
       1  74;MZ8;     1;    74;  5;   1;  559281; 7;2022;1471;44772; 5; 0; 2; 5; 5; 1;1;30;1;  102;   ;0;   1;   1;   1; 1;1; ;1;  560523;  100;     ;   ; 0;1351; 0;1;1;  2;  2;  2;0;    1;     ; 908;1002;54;1;31; 7;2022;1471;44773
       1  78;MZ8;     1;    78;  1;   1;  559281; 7;2022;1471;44772; 6; 3; 0; 6; 6; 2;1;30;1;  102;   ;0;   1;   1;   1; 1;1; ;0;       0;  100;     ;   ; 0;1351; 0;0;1;  2;  2;  2;0;    1;     ;1030;1106;36; ;  ;  ;    ;    ;     
       1  82;MZ8;     1;    82;  7;   1;  559281; 7;2022;1471;44771;11; 2; 2;11; 8; 1;1;29;1;  103;   ;0;   1;   1;   1; 1;1; ;1;  560523;  100;     ;   ; 0;1351; 0;0;1;  2;  2;  2;0;    1;     ;1414;1449;35; ;  ;  ;    ;    ;     
       1  86;MZ8;     1;    86;  2;   1;  559281; 7;2022;1471;44772;10; 1; 0;10;10; 2;1;30;1;  103;   ;0;   1;   1;   1; 1;1; ;0;       0;  100;     ;   ; 1;1351; 1;1;1;  2;  2;  2;0;    1;     ; 824; 859;35;1;31; 7;2022;1471;44773
       1  90;MZ8;     1;    90;  1;   1;  559281; 7;2022;1471;44771; 5; 1; 1; 5; 5; 1;1;29;1;  103;   ;0;   1;   1;   1; 1;1; ;1;  560523;  100;     ;   ; 0;1351; 0;0;1;  2;  2;  2;0;    1;     ;1136;1211;35; ;  ;  ;    ;    ;     
