HHID;HV201;HV202;HV201A;HV201B;HV204;HV205;HV206;HV207;HV208;HV209;HV210;HV211;HV212;HV213;HV214;HV215;HV216;HV217;HV218;HV219;HV220;HV221;HV222;HV223;HV225;HV226;HV227;HV228;HV230A;HV230B;HV232;HV232B;HV232C;HV232D;HV232E;HV232Y;HV234;HV234A;HV235;HV236A;HV237;HV237A;HV237B;HV237C;HV237D;HV237E;HV237F;HV237G;HV237H;HV237I;HV237J;HV237K;HV237X;HV237Z;HV238;HV238A;HV239;HV240;HV241;HV242;HV243A;HV243B;HV243C;HV243D;HV243E;HV244;HV245;HV246;HV246A;HV246B;HV246C;HV246D;HV246E;HV246F;HV246G;HV246H;HV246I;HV246J;HV246K;HV247;HV252;HV253;HV253A;HV253B;HV253C;HV253D;HV253E;HV253F;HV253G;HV253H;HV253X;HV253Z;HV255;HV256;HV257;HV259;HV260;HV261;HV262;HV263;HV270;HV271;HV270A;HV271A;HML1;HML1A;HML2
       1   5;12;  ; ;0;996;23;1;0;1;0;0;0;1;33;31;31; 4;4; 1;1;36;0; 8; 5;0;10;1; ;2;1;1;0; ; ; ;0;   ;0; ;  ;0;0;0;0;0;0;0;0; ; ; ; ;0;0;  ;2; ;0;3; ;1;0;0;0;1;0;   ;0; 0; 0; 0; 0; 0; 0; 0;  ;  ;  ;  ;0;0; ; ; ; ; ; ; ; ; ; ; ;0; ; ;95; ;95; 1;1;5;  131612;4;   54145; 4;4; 0
       1   9;13;  ; ;0;996;23;1;0;0;0;0;0;0;11;33;12; 2;1; 1;2;27;0; 8; 5;0;10;1;1;2;0;0;0; ; ; ;1;   ;1; ;  ;0;0;0;0;0;0;0;0; ; ; ; ;0;0;  ;2; ;0;3; ;1;0;0;0;0;1; 15;0; 0; 0; 0; 0; 0; 0; 0;  ;  ;  ;  ;0;0; ; ; ; ; ; ; ; ; ; ; ;0; ; ;95; ;95; 1;1;4;   -3965;2; -103673; 1;1; 1
       1  14;14;  ; ;0; 30;23;1;0;1;0;0;0;0;11;33;31; 2;2; 1;1;28;0; 8; 5;0;10;0; ;2;0;0;0; ; ; ;1;   ;1;3; 2;0;0;0;0;0;0;0;0; ; ; ; ;0;0;  ;2; ;0;3; ;1;1;0;0;0;0;   ;0; 0; 0; 0; 0; 0; 0; 0;  ;  ;  ;  ;1;0; ; ; ; ; ; ; ; ; ; ; ;0; ; ;95; ;95; 1;1;4;   70631;3;  -16839; 0;0; 0
       1  18;14;  ; ;0; 30;23;1;1;0;0;0;0;0;11;33;22; 3;2; 1;1;71;0; 8; 5;0;10;1; ;2;0;0;0; ; ; ;1;   ;1;3; 2;0;0;0;0;0;0;0;0; ; ; ; ;0;0;  ;2; ;0;3; ;1;0;0;0;0;0;   ;0; 0; 0; 0; 0; 0; 0; 0;  ;  ;  ;  ;0;0; ; ; ; ; ; ; ; ; ; ; ;0; ; ;95; ;95; 1;0;4;   10852;2;  -86426; 1;1; 0
       1  22;14;  ; ;0;998;23;1;0;1;1;0;0;0;11;32;31; 3;4; 1;2;37;0; 8; 5;0;10;1; ;4; ; ; ; ; ; ; ;   ;1;3; 3;1;0;0;0;0;0;0;0; ; ; ; ;0;1;  ;2; ;0;3; ;1;0;0;0;0;1; 40;0; 0; 0; 0; 0; 0; 0; 0;  ;  ;  ;  ;0;0; ; ; ; ; ; ; ; ; ; ; ;1;1;2;95; ;95; 1;0;4;   52363;2;  -38104; 2;2; 0
       1  26;14;  ; ;0; 20;21;1;0;1;1;0;0;0;33;31;31; 2;1; 1;2;34;0; 8; 5;1;10;1;1;2;0;0;0; ; ; ;1;   ;1;3; 1;0;0;0;0;0;0;0;0; ; ; ; ;0;0; 4;2; ;0;3; ;1;0;0;0;0;0;   ;0; 0; 0; 0; 0; 0; 0; 0;  ;  ;  ;  ;1;0; ; ; ; ; ; ; ; ; ; ; ;0; ; ;95; ;95; 1;1;5;  123886;4;   45152; 1;1; 1
       1  30;12;  ; ;1;996;12;1;1;1;0;0;0;0;33;32;31; 1;1; 1;1;63;0; 8; 5;0;10;1; ;2;0;0;0; ; ; ;1;   ;3; ;  ;1;0;0;0;1;0;0;0; ; ; ; ;0;0;  ;1; ;0;3; ;1;1;0;0;0;0;   ;0; 0; 0; 0; 0; 0; 0; 0;  ;  ;  ;  ;1;0; ; ; ; ; ; ; ; ; ; ; ;0; ; ;95; ;95; 1;1;5;  143309;4;   67761; 3;3; 0
       1  38;13;  ; ;0;996;23;1;0;0;0;0;0;0;11;33;31; 2;1; 1;2;30;0; 8; 5;0;10;1;1;2;1;1;0; ; ; ;0;   ;1; ;  ;1;1;0;0;0;0;0;1; ; ; ; ;0;0;  ;2; ;0;1;1;1;0;0;0;0;0;   ;0; 0; 0; 0; 0; 0; 0; 0;  ;  ;  ;  ;1;0; ; ; ; ; ; ; ; ; ; ; ;0; ; ;95; ;95; 1;1;4;   39777;2;  -52756; 2;2; 1
       1  42;14;  ; ;1; 30;52;1;0;1;1;0;0;1;33;32;31; 3;2; 1;1;45;0; 8; 5;1;10;1;1;2;1;1;0; ; ; ;0;   ;1;3; 3;0;0;0;0;0;0;0;0; ; ; ; ;0;0; 2;2; ;0;3; ;1;1;0;0;0;0;   ;0; 0; 0; 0; 0; 0; 0; 0;  ;  ;  ;  ;1;0; ; ; ; ; ; ; ; ; ; ; ;0; ; ;95; ;95; 1;1;5;  123859;4;   45120; 3;3; 1
       1  46;14;  ; ;0;  5;21;1;0;0;0;0;0;0;33;32;31; 1;1; 1;1;27;0; 8; 5;1;10;1; ;2;1;1;0; ; ; ;0;   ;3;3; 1;0;0;0;0;0;0;0;0; ; ; ; ;0;0; 2;2; ;0;3; ;1;0;0;0;0;0;   ;0; 0; 0; 0; 0; 0; 0; 0;  ;  ;  ;  ;1;0; ; ; ; ; ; ; ; ; ; ; ;8; ; ;95; ;95; 1;1;4;   89880;3;    5568; 1;1; 0
       1  50;14;  ; ;0;998;23;1;0;1;0;0;0;0;11;22;31; 2;5; 1;1;32;0; 8; 5;1;10;1;1;2;1;1;0; ; ; ;0;   ;1;3; 3;1;0;0;0;0;0;0;1; ; ; ; ;0;0; 5;2; ;0;3; ;1;1;0;0;0;0;   ;0; 0; 0; 0; 0; 0; 0; 0;  ;  ;  ;  ;1;0; ; ; ; ; ; ; ; ; ; ; ;8; ; ;95; ;95; 1;0;4;   59208;2;  -30137; 1;1; 2
       1  54;14;  ; ;0; 30;21;1;1;1;1;0;1;0;33;32;31; 5;4; 1;1;55;0; 8; 5;0;10;1; ;2;1;1;0; ; ; ;0;   ;1;3; 5;1;0;0;0;0;0;0;1; ; ; ; ;0;0;  ;2; ;0;1;1;1;0;0;0;0;1; 35;0; 0; 0; 0; 0; 0; 0; 0;  ;  ;  ;  ;1;0; ; ; ; ; ; ; ; ; ; ; ;0; ; ;95; ;95; 1;1;5;  115527;4;   35421; 5;5; 0
       1  58;13;  ; ;1;996;23;1;0;0;0;0;0;0;12;32;12; 3;2; 1;2;39;0; 8; 5;1;10;1; ;2;1;0;0; ; ; ;1;   ;1; ;  ;0;0;0;0;0;0;0;0; ; ; ; ;0;0; 2;2; ;0;1;0;1;0;0;0;0;1; 30;0; 0; 0; 0; 0; 0; 0; 0;  ;  ;  ;  ;0;0; ; ; ; ; ; ; ; ; ; ; ;0; ; ;95; ;95; 1;1;4;   15322;2;  -81222; 2;2; 0
       1  62;13;  ; ;1;996;22;1;1;1;0;0;0;0;11;33;12; 1;2; 1;1;35;0; 8; 5;1;10;1;1;2;0;0;0; ; ; ;1;   ;1; ;  ;0;0;0;0;0;0;0;0; ; ; ; ;0;0; 2;2; ;0;1;0;1;0;0;0;0;0;   ;0; 0; 0; 0; 0; 0; 0; 0;  ;  ;  ;  ;1;0; ; ; ; ; ; ; ; ; ; ; ;0; ; ; 5;0;10; 1;1;4;   21819;2;  -73660; 2;2; 1
       1  66;12;  ; ;0;996;23;1;0;1;1;0;1;0;33;32;31; 2;2; 1;1;38;0; 8; 5;0;10;1;1;1;1;1;0; ; ; ;0;   ;1; ;  ;0;0;0;0;0;0;0;0; ; ; ; ;0;0;  ;2; ;0;3; ;1;1;0;0;0;0;   ;0; 0; 0; 0; 0; 0; 0; 0;  ;  ;  ;  ;1;0; ; ; ; ; ; ; ; ; ; ; ;0; ; ;95; ;95; 1;1;5;  129240;4;   51385; 3;3; 1
       1  70;13;  ; ;0;996;22;1;0;1;0;0;0;0;12;32;12; 2;4; 1;1;38;0; 8; 5;1;10;1;1;2;0;1;0; ; ; ;0;   ;1; ;  ;0;0;0;0;0;0;0;0; ; ; ; ;0;0; 2;2; ;0;3; ;1;0;0;0;0;0;   ;0; 0; 0; 0; 0; 0; 0; 0;  ;  ;  ;  ;1;1; ; ; ; ; ; ; ; ; ; ; ;0; ; ;95; ;95; 1;1;4;   63766;2;  -24831; 2;2; 1
       1  74;12;  ; ;0;996;22;1;0;1;1;0;0;0;33;32;31; 3;4; 1;2;64;0; 8; 5;1;10;1; ;1;1;0;0; ; ; ;1;   ;1; ;  ;1;1;0;0;0;0;0;0; ; ; ; ;0;0; 2;2; ;0;3; ;1;1;0;0;0;0;   ;1; 0; 0; 0; 0; 0; 4; 0;  ;  ;  ;  ;0;0; ; ; ; ; ; ; ; ; ; ; ;0; ; ;95; ;95; 1;1;5;  124020;4;   45308; 3;3; 0
       1  78;12;  ; ;0;996;22;1;0;1;1;0;0;0;33;31;31; 2;4; 1;2;45;0; 8; 5;0;10;1;1;1;1;0;0; ; ; ;1;   ;1; ;  ;0;0;0;0;0;0;0;0; ; ; ; ;0;0;  ;2; ;0;3; ;1;0;0;0;0;0;   ;0; 0; 0; 0; 0; 0; 0; 0;  ;  ;  ;  ;1;0; ; ; ; ; ; ; ; ; ; ; ;0; ; ;95; ;95; 1;1;5;  135831;4;   59057; 2;2; 2
