HHID;IDXH4;SH16;SH17A;SH17B;SH18;SH19A;SH19B;SH36;SH37;SH38;SH39
       1   5; 1;1; 6;12; ;  ;  ; ; ; ; 
       1   5; 2;1; 5;10; ;  ;  ; ; ; ; 
       1   5; 3;1; 6;12; ;  ;  ; ; ; ; 
       1   5; 4;1; 4; 0;1; 4; 7;1;1;4;5
       1   9; 1;1; 5; 8; ;  ;  ; ; ; ; 
       1   9; 2;1; 3; 3;1; 3; 4; ; ; ; 
       1   9; 3; ;  ;  ; ;  ;  ; ; ; ; 
       1   9; 4;1; 3; 1;1; 3; 2; ; ; ; 
       1   9; 5;0;  ;  ; ;  ;  ; ; ; ; 
       1   9; 6;0;  ;  ; ;  ;  ; ; ; ; 
       1  14; 1;1; 4; 7; ;  ;  ; ; ; ; 
       1  14; 2;1; 5; 9;0;  ;  ;1;1;4;4
       1  14; 3;1; 3; 2;1; 3; 3;2;1;4;4
       1  18; 1;1; 2; 0; ;  ;  ; ; ; ; 
       1  18; 2;0;  ;  ; ;  ;  ; ; ; ; 
       1  22; 1;1; 5; 8; ;  ;  ; ; ; ; 
       1  22; 2;1; 5; 8;1; 5; 8;1;1;5;5
       1  22; 3;1; 6;12;1; 6;12; ; ; ; 
       1  22; 4;1; 3; 3;1; 3; 4;1;1;1;5
       1  26; 1;1; 6;12; ;  ;  ; ; ; ; 
       1  26; 2; ;  ;  ; ;  ;  ; ; ; ; 
       1  30; 1;1; 2; 2; ;  ;  ; ; ; ; 
       1  38; 1;1; 6;12; ;  ;  ; ; ; ; 
       1  38; 2;1; 4; 6;1; 4; 6;1;1;5;2
       1  38; 3;0;  ;  ; ;  ;  ; ; ; ; 
       1  42; 1;1; 6;12; ;  ;  ; ; ; ; 
       1  42; 2;1; 6;12; ;  ;  ; ; ; ; 
       1  42; 3;1; 5; 8;1; 5; 9; ; ; ; 
       1  42; 4;1; 5; 8;1; 5; 8; ; ; ; 
       1  42; 5;1; 4; 6;1; 4; 6; ; ; ; 
       1  42; 6;1; 3; 2;1; 3; 3; ; ; ; 
       1  42; 7;0;  ;  ; ;  ;  ; ; ; ; 
       1  46; 1;1; 9; 2; ;  ;  ; ; ; ; 
       1  50; 1;1; 6;12; ;  ;  ; ; ; ; 
       1  50; 2;1; 6;12; ;  ;  ; ; ; ; 
       1  50; 3;1; 6;12;1; 6;12; ; ; ; 
       1  50; 4;0;  ;  ; ;  ;  ; ; ; ; 
       1  50; 5; ;  ;  ; ;  ;  ; ; ; ; 
       1  54; 1;1; 6;12; ;  ;  ; ; ; ; 
       1  54; 2;1; 4; 6; ;  ;  ; ; ; ; 
       1  54; 3;1; 6;12; ;  ;  ; ; ; ; 
       1  54; 4;1; 5;10;0;  ;  ; ; ; ; 
       1  54; 5;1; 6;11;1; 6;12; ; ; ; 
       1  54; 6;1; 5; 9;1; 5;10;1;1;2;5
       1  54; 7;1; 3; 4;1; 3; 5;1;1;5;4
       1  58; 1;1; 4; 6; ;  ;  ; ; ; ; 
       1  58; 2;1; 4; 7;1; 5; 8; ; ; ; 
       1  58; 3;1; 3; 3;1; 3; 4; ; ; ; 
       1  58; 4;0;  ;  ; ;  ;  ; ; ; ; 
       1  62; 1;1; 6;12; ;  ;  ; ; ; ; 
       1  62; 2;1; 5; 0; ;  ;  ; ; ; ; 
       1  62; 3;1; 3; 0;1; 3; 1;2;1;1;2
       1  62; 4; ;  ;  ; ;  ;  ; ; ; ; 
       1  66; 1;1; 6;12; ;  ;  ; ; ; ; 
       1  66; 2;1; 5; 0; ;  ;  ; ; ; ; 
       1  66; 3;1; 4; 0;1; 4; 6; ; ; ; 
       1  66; 4;1; 3; 2;1; 3; 3; ; ; ; 
       1  66; 5; ;  ;  ; ;  ;  ; ; ; ; 
       1  70; 1;1; 6; 0; ;  ;  ; ; ; ; 
       1  70; 2;1; 6;12; ;  ;  ; ; ; ; 
       1  70; 3;1; 5; 8;1; 5; 9; ; ; ; 
       1  70; 4;1; 3; 0;1; 3; 1;1;1;5;5
       1  70; 5; ;  ;  ; ;  ;  ; ; ; ; 
       1  74; 1;0;  ;  ; ;  ;  ; ; ; ; 
       1  74; 2;1; 3; 5;1; 3; 5; ; ; ; 
       1  74; 3;1; 5; 9;1; 5;10; ; ; ; 
       1  74; 4;0;  ;  ; ;  ;  ; ; ; ; 
       1  74; 5;1; 6;12;0;  ;  ; ; ; ; 
       1  78; 1;1;12; 4; ;  ;  ; ; ; ; 
       1  78; 2;1;12; 2;1;12; 3; ; ; ; 
       1  78; 3;1;12; 1;1;12; 2; ; ; ; 
       1  78; 4;0;  ;  ; ;  ;  ; ; ; ; 
       1  78; 5; ;  ;  ; ;  ;  ; ; ; ; 
       1  78; 6;1;12; 4;0;  ;  ; ; ; ; 
       1  82; 1;1;98;  ; ;  ;  ; ; ; ; 
       1  82; 2;1; 6;12; ;  ;  ; ; ; ; 
       1  82; 3;1; 6;12;0;  ;  ; ; ; ; 
       1  82; 4;1; 6;12; ;  ;  ; ; ; ; 
       1  82; 5;1; 5; 8;1; 5; 9; ; ; ; 
       1  82; 6;1; 5;10;1; 5;10; ; ; ; 
       1  82; 7;1; 6;12;0;  ;  ; ; ; ; 
       1  82; 8;1; 4; 6;1; 4; 6; ; ; ; 
       1  82; 9;1; 3; 3;0;  ;  ; ; ; ; 
       1  82;10;1; 5;10;0;  ;  ; ; ; ; 
       1  82;11; ;  ;  ; ;  ;  ; ; ; ; 
       1  86; 1;0;  ;  ; ;  ;  ; ; ; ; 
       1  86; 2;1; 6;12; ;  ;  ; ; ; ; 
       1  86; 3;1; 6;11;1; 6;11; ; ; ; 
       1  86; 4;1; 5; 9;0;  ;  ; ; ; ; 
       1  86; 5;1; 5; 8;0;  ;  ; ; ; ; 
       1  86; 6;1; 4; 6;0;  ;  ;1;1;5;8
       1  86; 7;1; 4; 7;1; 4; 7;1;1;5;5
       1  86; 8;1; 3; 4;0;  ;  ;1;1;4;8
       1  86; 9;0;  ;  ; ;  ;  ;1;8;8;8
       1  86;10; ;  ;  ; ;  ;  ; ; ; ; 
       1  90; 1;1; 6;12;0;  ;  ; ; ; ; 
       1  90; 2;1; 6;12; ;  ;  ; ; ; ; 
       1  90; 3;1; 6;12; ;  ;  ; ; ; ; 
       1  90; 4;1; 3; 1;1; 3; 1; ; ; ; 
       1  90; 5; ;  ;  ; ;  ;  ; ; ; ; 
       1  94; 1;1; 5;10; ;  ;  ; ; ; ; 
       1  94; 2;1; 6;12; ;  ;  ; ; ; ; 
       1  94; 3;1; 8; 3;1; 8; 3; ; ; ; 
       1  94; 4;1; 6;12;0;  ;  ; ; ; ; 
       1  94; 5;1; 5; 9;1; 5;10;1;1;8;8
       1  94; 6;1; 3; 4;1; 3; 5;1;1;8;8
       1  94; 7; ;  ;  ; ;  ;  ; ; ; ; 
       1  94; 8;1; 5;10;1; 6;11;1;1;2;5
       1  94; 9;0;  ;  ; ;  ;  ; ; ; ; 
       1  98; 1;0;  ;  ; ;  ;  ; ; ; ; 
       1  98; 2;1; 6;11;1; 6;12; ; ; ; 
       1  98; 3;1; 6;12;0;  ;  ; ; ; ; 
       1  98; 4;1; 6;12;0;  ;  ; ; ; ; 
       1  98; 5;1; 3; 4;1; 3; 4; ; ; ; 
       1  98; 6;1; 4; 7;1; 4; 7; ; ; ; 
       1  98; 7;0;  ;  ; ;  ;  ; ; ; ; 
       1  98; 8;1; 3; 1;1; 3; 1; ; ; ; 
       1 102; 1;1; 6;12; ;  ;  ; ; ; ; 
       1 102; 2;1; 5; 9;0;  ;  ; ; ; ; 
       1 102; 3;1; 4; 7;1; 4; 7;1;1;8;8
       1 102; 4;1; 3; 5;1; 3; 5;1;1;8;8
       1 102; 5;0;  ;  ; ;  ;  ; ; ; ; 
       1 102; 6;1; 5;10;0;  ;  ; ; ; ; 
       1 102; 7;1; 6;12; ;  ;  ; ; ; ; 
       2   5; 1;1; 6;12; ;  ;  ; ; ; ; 
       2   5; 2;1; 5;10;0;  ;  ; ; ; ; 
       2   5; 3;0;  ;  ; ;  ;  ; ; ; ; 
       2   5; 4; ;  ;  ; ;  ;  ; ; ; ; 
       2  10; 1;1; 6;12; ;  ;  ; ; ; ; 
       2  10; 2;1; 4; 6;0;  ;  ; ; ; ; 
       2  10; 3;1; 5; 8; ;  ;  ; ; ; ; 
       2  10; 4;0;  ;  ; ;  ;  ; ; ; ; 
       2  15; 1;0;  ;  ; ;  ;  ; ; ; ; 
       2  15; 2;1; 5; 9; ;  ;  ; ; ; ; 
       2  15; 3;1; 5;10; ;  ;  ; ; ; ; 
       2  15; 4;1; 6;12;0;  ;  ; ; ; ; 
       2  15; 5;1; 4; 7;0;  ;  ; ; ; ; 
       2  15; 6;1; 3; 4;1; 3; 5; ; ; ; 
       2  15; 7;1; 3; 3;1; 3; 4; ; ; ; 
       2  15; 8;1; 3; 1;1; 3; 1; ; ; ; 
       2  15; 9;0;  ;  ; ;  ;  ; ; ; ; 
