MCASEID;MV000;MV001;MV002;MV003;MV004;MV005;MV006;MV007;MV008;MV008A;MV009;MV010;MV011;MV012;MV013;MV014;MV015;MV016;MV021;MV022;MV023;MV024;MV025;MV026;MV027;MV028;MV029;MV030;MV031;MV032;MREC01_GROUP_1;MREC01_GROUP_2;MREC01_GROUP_3;MREC01_GROUP_4;MREC01_GROUP_5;MREC01_GROUP_6;MREC01_GROUP_7;MREC01_GROUP_8;MV035;MV045A;MV045B;MV045C;MV046;MV047;MV048;MV801;MV802;MV803
       1  50  1;MZ8;     1;    50;  1;   1;       0; 8;2022;1472;44774;  ;    ;    ;  ;  ; ;2; 1;   1;   1;   1; 1;1; ;1;  104;   ;  100;     ;   ;     ;     ;     ;     ;     ;     ;     ;     ;0;   ;   ;   ; ;    1;     ;    ;    ;  
       1  50  2;MZ8;     1;    50;  2;   1;  586674; 8;2022;1472;44774; 2;1988;1058;34; 4;1;1; 1;   1;   1;   1; 1;1; ;1;  104;   ;  100;     ;   ;     ;     ;     ;     ;     ;     ;     ;     ;0;  2;  2;  1;0;    1;     ; 856; 951;55
       1  58  2;MZ8;     1;    58;  2;   1;       0; 8;2022;1472;44774;  ;    ;    ;  ;  ; ;2; 1;   1;   1;   1; 1;1; ;1;  104;   ;  100;     ;   ;     ;     ;     ;     ;     ;     ;     ;     ;0;   ;   ;   ; ;    1;     ;    ;    ;  
       1  66  1;MZ8;     1;    66;  1;   1;       0; 8;2022;1472;44774;  ;    ;    ;  ;  ; ;2; 1;   1;   1;   1; 1;1; ;1;  104;   ;  100;     ;   ;     ;     ;     ;     ;     ;     ;     ;     ;0;   ;   ;   ; ;    1;     ;    ;    ;  
       1  74  3;MZ8;     1;    74;  3;   1;  586674; 7;2022;1471;44773; 3;2004;1251;18; 1;1;1;31;   1;   1;   1; 1;1; ;1;  104;   ;  100;     ;   ;     ;     ;     ;     ;     ;     ;     ;     ;0;  2;  2; 11;0;    1;     ;1027;1119;52
       1  74  5;MZ8;     1;    74;  5;   1;  586674; 7;2022;1471;44772; 8;1997;1172;24; 2;1;1;30;   1;   1;   1; 1;1; ;1;  104;   ;  100;     ;   ;     ;     ;     ;     ;     ;     ;     ;     ;0;  2;  2;  1;0;    1;     ;1413;1449;36
       1  82  6;MZ8;     1;    82;  6;   1;       0; 8;2022;1472;44774;  ;    ;    ;  ;  ; ;2; 1;   1;   1;   1; 1;1; ;1;  104;   ;  100;     ;   ;     ;     ;     ;     ;     ;     ;     ;     ;0;   ;   ;   ; ;    1;     ;    ;    ;  
       1  82  7;MZ8;     1;    82;  7;   1;  586674; 7;2022;1471;44773; 4;2000;1204;22; 2;1;1;31;   1;   1;   1; 1;1; ;1;  104;   ;  100;     ;   ;     ;     ;     ;     ;     ;     ;     ;     ;0;  2;  2; 11;0;    1;     ;1444;1529;45
       1  90  2;MZ8;     1;    90;  2;   1;  586674; 7;2022;1471;44773; 6;1994;1134;28; 3;1;1;31;   1;   1;   1; 1;1; ;1;  104;   ;  100;     ;   ; 1 22;     ;     ;     ;     ;     ;     ;     ;1;  2;  2; 11;0;    1;     ;1213;1313;60
       1  98  2;MZ8;     1;    98;  2;   1;  586674; 7;2022;1471;44773; 2;2002;1226;20; 2;1;1;31;   1;   1;   1; 1;1; ;1;  104;   ;  100;     ;   ;     ;     ;     ;     ;     ;     ;     ;     ;0;  2;  2; 11;0;    1;     ; 914; 951;37
