MCASEID;MV301;MV302;MREC31_GROUP_01;MREC31_GROUP_02;MREC31_GROUP_03;MREC31_GROUP_04;MREC31_GROUP_05;MREC31_GROUP_06;MREC31_GROUP_07;MREC31_GROUP_08;MREC31_GROUP_09;MREC31_GROUP_10;MREC31_GROUP_11;MREC31_GROUP_12;MREC31_GROUP_13;MREC31_GROUP_14;MREC31_GROUP_15;MREC31_GROUP_16;MREC31_GROUP_17;MREC31_GROUP_18;MREC31_GROUP_19;MREC31_GROUP_20
       1  50  2;3; ;11 0;10  ;11 0;18  ;11 0;10  ;10  ;21 0;21 0;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;10  ;38  ;38  
       1  74  3;3; ;11 0;10  ;11 0;18  ;11 1;10  ;10  ;20  ;21 0;30  ;11 1;28  ;10  ;11 0;18  ;10  ;10  ;10  ;38  ;38  
       1  74  5;3; ;11 0;10  ;10  ;18  ;11 1;10  ;10  ;21 0;20  ;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;10  ;38  ;38  
       1  82  7;3; ;11 0;10  ;11 0;18  ;11 1;10  ;10  ;21 0;20  ;31 0;11 0;28  ;10  ;11 0;18  ;10  ;10  ;11 0;38  ;38  
       1  90  2;3; ;11 1;11 0;11 0;18  ;11 0;10  ;10  ;20  ;21 0;30  ;11 0;28  ;10  ;11 0;18  ;11 0;10  ;11 0;38  ;38  
       1  98  2;3; ;11 0;10  ;11 0;18  ;11 1;10  ;10  ;20  ;20  ;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;10  ;38  ;38  
       1  98  3;3; ;11 0;11 0;11 1;18  ;11 1;10  ;10  ;21 0;21 0;30  ;11 0;28  ;10  ;11 0;18  ;11 0;10  ;11 0;38  ;38  
       1  98  4;3; ;11 0;10  ;10  ;18  ;11 1;10  ;10  ;21 0;20  ;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;11 0;38  ;38  
       2  25  2;3; ;11 0;10  ;11 0;18  ;11 1;10  ;10  ;21 0;20  ;30  ;11 0;28  ;10  ;10  ;18  ;10  ;10  ;10  ;38  ;38  
       2  25  3;3; ;11 0;10  ;11 0;18  ;11 1;10  ;10  ;21 0;21 0;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;10  ;38  ;38  
       2  25  4;3; ;11 0;10  ;11 0;18  ;11 1;10  ;10  ;20  ;21 0;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;10  ;38  ;38  
       2  25  5;3; ;11 0;10  ;11 0;18  ;11 1;10  ;10  ;20  ;20  ;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;11 0;38  ;38  
       2  25  7;3; ;11 0;11 0;11 0;18  ;11 1;10  ;10  ;20  ;21 0;30  ;11 0;28  ;10  ;10  ;18  ;10  ;10  ;11 0;38  ;38  
       2  25  8;3; ;11 0;10  ;10  ;18  ;11 1;10  ;10  ;20  ;20  ;30  ;10  ;28  ;10  ;11 0;18  ;10  ;10  ;10  ;38  ;38  
       2  25  9;3; ;11 0;10  ;10  ;18  ;11 1;10  ;10  ;20  ;21 0;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;10  ;38  ;38  
       2  35  3;3; ;10  ;10  ;10  ;18  ;11 1;10  ;10  ;20  ;20  ;30  ;10  ;28  ;10  ;10  ;18  ;10  ;10  ;10  ;38  ;38  
       2  35  4;3; ;11 0;10  ;11 0;18  ;11 1;11 0;11 0;20  ;20  ;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;10  ;38  ;38  
       2  65  1;3; ;11 0;11 0;11 0;18  ;11 0;11 0;10  ;21 0;21 0;30  ;11 0;28  ;10  ;11 0;18  ;11 0;10  ;11 0;38  ;38  
       2  65  2;3; ;11 0;11 0;11 0;18  ;11 0;10  ;10  ;21 0;21 0;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;10  ;38  ;38  
       2  95  3;3; ;11 0;11 0;11 0;18  ;11 1;11 0;11 0;21 0;21 0;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;11 0;38  ;38  
       2  95  4;3; ;11 0;11 0;11 0;18  ;11 1;11 0;11 0;21 0;21 0;31 0;11 0;28  ;10  ;11 0;18  ;10  ;10  ;10  ;38  ;38  
       2  95  5;3; ;11 1;10  ;11 0;18  ;11 0;10  ;10  ;21 0;21 0;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;10  ;38  ;38  
       2 115  7;3; ;11 0;10  ;11 0;18  ;11 0;10  ;10  ;20  ;20  ;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;10  ;38  ;38  
       3  43  1;3; ;11 0;10  ;11 0;18  ;11 0;10  ;10  ;21 0;20  ;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;10  ;38  ;38  
       3  58  2;3; ;11 0;10  ;11 0;18  ;11 1;10  ;10  ;21 0;21 0;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;10  ;38  ;38  
       3 102  1;3; ;11 0;10  ;10  ;18  ;11 0;10  ;10  ;21 0;20  ;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;11 0;38  ;38  
       3 117  1;3; ;11 0;10  ;11 0;18  ;11 0;10  ;10  ;21 0;21 0;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;10  ;38  ;38  
       3 162  1;3; ;11 0;11 0;11 0;18  ;11 0;10  ;10  ;21 0;20  ;30  ;11 0;28  ;10  ;10  ;18  ;10  ;10  ;10  ;38  ;38  
       4  10  2;3; ;11 0;11 0;11 0;18  ;11 1;11 0;10  ;21 0;21 0;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;10  ;38  ;38  
       4  41  1;3; ;11 1;11 0;11 0;18  ;11 0;11 0;10  ;21 0;21 0;30  ;11 0;28  ;11 0;11 0;18  ;10  ;10  ;11 0;38  ;38  
       4  41  7;3; ;11 0;11 0;11 0;18  ;11 1;11 0;10  ;21 0;20  ;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;11 0;38  ;38  
       4  62  3;3; ;11 0;11 0;11 0;18  ;11 0;11 0;11 0;21 0;21 0;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;11 0;38  ;38  
       4  62  6;3; ;11 0;11 0;11 0;18  ;11 0;11 0;11 0;21 0;21 0;30  ;11 1;28  ;11 0;11 0;18  ;11 0;10  ;11 0;38  ;38  
       4  62  7;0; ;10  ;10  ;10  ;18  ;10  ;10  ;10  ;20  ;20  ;30  ;10  ;28  ;10  ;10  ;18  ;10  ;10  ;10  ;38  ;38  
       4  83  6;3; ;11 0;11 0;10  ;18  ;11 1;10  ;11 0;20  ;21 0;30  ;11 0;28  ;11 0;11 0;18  ;11 0;10  ;11 0;38  ;38  
       4  94  2;3; ;11 0;10  ;10  ;18  ;11 0;10  ;10  ;20  ;20  ;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;10  ;38  ;38  
       4  94  6;3; ;11 0;10  ;11 0;18  ;11 0;10  ;10  ;20  ;20  ;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;10  ;38  ;38  
       4 126  2;3; ;11 0;11 0;11 0;18  ;11 0;11 0;11 0;21 0;21 0;30  ;11 0;28  ;11 0;11 0;18  ;11 0;10  ;11 0;38  ;38  
       5  15  1;3; ;11 0;10  ;11 1;18  ;11 0;11 0;10  ;21 0;20  ;31 0;11 0;28  ;10  ;11 0;18  ;10  ;10  ;11 0;38  ;38  
       5  38  1;3; ;11 0;11 0;11 0;18  ;11 0;11 0;11 0;21 0;21 0;30  ;11 1;28  ;10  ;11 0;18  ;10  ;10  ;10  ;38  ;38  
       5  50  2;3; ;11 0;10  ;10  ;18  ;11 0;10  ;10  ;21 0;20  ;30  ;11 0;28  ;10  ;11 0;18  ;11 0;10  ;10  ;38  ;38  
       5  50  4;3; ;11 0;10  ;11 0;18  ;11 0;10  ;10  ;21 0;21 0;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;10  ;38  ;38  
       5  50  5;3; ;11 0;10  ;10  ;18  ;11 0;10  ;10  ;20  ;20  ;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;10  ;38  ;38  
       5  61  3;3; ;11 0;10  ;11 0;18  ;11 1;10  ;10  ;21 0;20  ;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;10  ;38  ;38  
       5 108  1;3; ;11 0;10  ;11 0;18  ;11 1;10  ;10  ;21 0;21 0;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;10  ;38  ;38  
       5 108  3;3; ;11 0;11 0;11 0;18  ;11 1;10  ;10  ;20  ;20  ;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;10  ;38  ;38  
       5 120  1;3; ;11 0;10  ;11 0;18  ;11 0;10  ;10  ;21 0;21 0;31 0;11 0;28  ;10  ;11 0;18  ;10  ;10  ;11 0;38  ;38  
       5 131  1;3; ;11 0;10  ;11 0;18  ;11 0;10  ;10  ;20  ;20  ;30  ;11 0;28  ;10  ;10  ;18  ;10  ;10  ;10  ;38  ;38  
       5 131  4;3; ;11 0;11 0;11 0;18  ;11 1;11 0;10  ;21 0;21 0;30  ;11 0;28  ;10  ;11 0;18  ;11 0;10  ;10  ;38  ;38  
